Kids_First_Biospecimen_ID	aliquot_id_latest	aliquot_id_previous
BS_1HQ76V6D	1030650	62332
BS_3BDAG9YN	1030648	373280
BS_4DY83R02	1030626	62332
BS_7F07M7JG	1030634	242815
BS_8H2XX24V	1030633	233109
BS_8T7DZV2F	1030646	348781
BS_CHDGRYHJ	1030642	233109
BS_G12HNXYX	1030631	225348
BS_H4B5Y6S0	1030647	357618
BS_HZNKSQ17	1030636	344957
BS_JTMXAMB7	1030641	225348
BS_KYF0Q0E7	1030652	104702
BS_MVYA262V	A05265	A05233
BS_N6N147BY	1030655	232096
BS_TV5B86ZD	1030653	150593
BS_VTTTQYQA	1030628	104702
BS_WP9J88EB	1030635	323692
BS_YYAPSA5P	1030630	170326
BS_Z7PKVY9J	1030649	8711
