Kids_First_Biospecimen_ID	seq_center_latest	seq_center_previous
BS_0DVXQN0X	The Translational Genomics Research Institute	TGEN
BS_0N50PRC8	The Translational Genomics Research Institute	TGEN
BS_0ZA67BBC	The Translational Genomics Research Institute	TGEN
BS_169P1QCA	BGI@CHOP Genome Center	BGI
BS_1CQ01RV2	The Translational Genomics Research Institute	TGEN
BS_1N7MQZGR	The Translational Genomics Research Institute	TGEN
BS_1RTE2KEX	The Translational Genomics Research Institute	TGEN
BS_21ET39G7	The Translational Genomics Research Institute	TGEN
BS_2AM4ZQ21	The Translational Genomics Research Institute	TGEN
BS_2HDEZFTW	The Translational Genomics Research Institute	TGEN
BS_2JP7RBMB	The Translational Genomics Research Institute	TGEN
BS_2KMB51YF	The Translational Genomics Research Institute	TGEN
BS_2NDRETB2	BGI@CHOP Genome Center	BGI
BS_31Q3FW1X	The Translational Genomics Research Institute	TGEN
BS_328C4BW5	The Translational Genomics Research Institute	TGEN
BS_402W79TS	The Translational Genomics Research Institute	TGEN
BS_475X9707	The Translational Genomics Research Institute	TGEN
BS_49CJNZ06	The Translational Genomics Research Institute	TGEN
BS_52ETE050	The Translational Genomics Research Institute	TGEN
BS_541KKASA	The Translational Genomics Research Institute	TGEN
BS_5CCAC8TZ	The Translational Genomics Research Institute	TGEN
BS_5DPMQQVG	The Translational Genomics Research Institute	TGEN
BS_5FBN4PPQ	The Translational Genomics Research Institute	TGEN
BS_5VPM0F36	The Translational Genomics Research Institute	TGEN
BS_6687ZNGS	The Translational Genomics Research Institute	TGEN
BS_68KX6A42	The Translational Genomics Research Institute	TGEN
BS_68S56YSS	The Translational Genomics Research Institute	TGEN
BS_69HX9VQM	The Translational Genomics Research Institute	TGEN
BS_6B62YT97	The Translational Genomics Research Institute	TGEN
BS_6DT506HY	The Translational Genomics Research Institute	TGEN
BS_6M2053M0	The Translational Genomics Research Institute	TGEN
BS_6TDVHGKE	The Translational Genomics Research Institute	TGEN
